REGION, INSTITUTION NAME, INSTITUTION TYPE, PROVINCE, MUNICIPALITY/CITY, WEBSITE ADDRESS, FAX/TELEPHONE NO.
08 - Eastern Visayas,Tan Ting Bing Memorial Colleges Foundation,Private,Northern Samar,San Isidro,http://www.freewebs/tantingbing.com,0918-6483281; 0916-5070304; (055) 500-9046; '0929-6976432,
08 - Eastern Visayas,Global School for Technological Studies,Private,Northern Samar,Catarman,,0909-1749223; 0909-8695328,
08 - Eastern Visayas,Burauen Community College,LUC,Leyte,Burauen,,,
08 - Eastern Visayas,Eastern Visayas State University-Dulag Campus,SUC Satellite,Leyte,,,,
08 - Eastern Visayas,University of the Philippines Manila - School of Health Sciences,SUC Satellite,Leyte,Palo,http://shs.upm.edu.ph,(053) 832-2442,
09 - Zamboanga Peninsula,Andres Bonifacio College,Private,Zamboanga del Norte,Dipolog City,http://www.abcollege.edu.ph,(065) 212-4884; (065) 212-2937; (065) 212-8462,
09 - Zamboanga Peninsula,Ateneo de Zamboanga University,Private,Zamboanga del Sur,Zamboanga City,http://www.adzu.edu.ph,(062) 991-0871 local 1000; (062) 991-0870,
09 - Zamboanga Peninsula,Basilan State College,SUC Main,Basilan,Isabela City,http://www.Bassc.edu.ph,(062) 200-7523; (062) 200-3817; (062) 200-7705,
09 - Zamboanga Peninsula,Brent Hospital and Colleges,Private,Zamboanga del Sur,Zamboanga City,http://www.bhci.com.ph,(062) 991-5358; (062) 992-4447,
09 - Zamboanga Peninsula,Claret College of Isabela,Private,Basilan,Isabela City,n/a,(062) 200-3866; (062) 200-3865; (062) 200-3867,
09 - Zamboanga Peninsula,DMC College Foundation,Private,Zamboanga del Norte,Dipolog City,http://www.dmc.edu.ph,(065) 212-3827; (065); (065) 212-4029,
09 - Zamboanga Peninsula,Dr. Aurelio Mendoza Memorial Colleges,Private,Zamboanga Sibugay,Ipil,ammc.edu.ph,(062) 215-1856; (062) 955-8050; (062) 333-2381,
09 - Zamboanga Peninsula,Immaculate Conception Archdiocesan School,Private,Zamboanga del Sur,Zamboanga City,http://www.icas.com,(062) 991-2490; (062) 992-0306; (062) 993-2575; (062) 926-7843,
09 - Zamboanga Peninsula,Juan S. Alano Memorial School,Private,Basilan,Isabela City,,(062) 200-7866,
09 - Zamboanga Peninsula,Jose Rizal Memorial State University-Katipunan Campus,SUC Satellite,Zamboanga del Norte,Dapitan City,http://www.jrmsu.edu.ph/katipunan,(065) 918-0251; 0949-5060865,
09 - Zamboanga Peninsula,Marian College,Private,Zamboanga Sibugay,Ipil,,(062) 333-2747; (062) 333-2841,
09 - Zamboanga Peninsula,Blancia College Foundation,Private,Zamboanga del Sur,Molave,blanciacollegefi.web.com,(062) 225-1840; (062) 225-1406,
09 - Zamboanga Peninsula,Philippine Advent College,Private,Zamboanga del Norte,Sindangan,philippineadventcollege.edu.ph,(065) 224-2038; (065) 224-2700; (065) 918-0186,
09 - Zamboanga Peninsula,Pilar Colege of Zamboanga City,Private,Zamboanga del Sur,Zamboanga City,http://www.pczc.edu.ph,(062) 991-5410; (062) 991-1098,
09 - Zamboanga Peninsula,Rizal Memorial Institute of Dapitan City,Private,Zamboanga del Norte,Dapitan City,,(065) 213-6620; (065) 213-6287; (065) 212-2691; (065) 212-2817,
09 - Zamboanga Peninsula,Saint Columban College,Private,Zamboanga del Sur,Pagadian City,http://www.sccpag.edu.com.ph,(062) 214-1290; (062) 215-1800; (062) 215-1799 loc 104,
09 - Zamboanga Peninsula,St. John College of Buug Foundation,Private,Zamboanga Sibugay,Buug,,(062) 983-1067,
09 - Zamboanga Peninsula,Saint Joseph College of Sindangan,Private,Zamboanga del Norte,Sindangan,http://www.sjcsi.edu.ph,(065) 224-2710; (065) 212-6292,
09 - Zamboanga Peninsula,St. Vincent's College Incorporated,Private,Zamboanga del Norte,Dipolog City,http://www.SVC.EDU.PH,(065) 908-1133; (065) 212-6292 local 111,
09 - Zamboanga Peninsula,Saint Estanislao Kostka College,Private,Zamboanga del Norte,Manukan,http://www.sekc.org.ph,0912-2675210,
09 - Zamboanga Peninsula,Southern Mindanao College-Agro Tech,Private,Zamboanga del Sur,Dumalinao,,(062) 215-2589; (062) 214-4804; (062) 215 1624,
09 - Zamboanga Peninsula,Southern City Colleges,Private,Zamboanga del Sur,Zamboanga City,http://www.scci.edu.ph,(062) 992-0819; (062) 991-1847; (062) 992-2241,
09 - Zamboanga Peninsula,Southern Mindanao Colleges,Private,Zamboanga del Sur,Pagadian City,,(062) 215-2589; (062) 214-4804; (062) 215-1624,
09 - Zamboanga Peninsula,Southern Philippine College,Private,Zamboanga del Norte,Labason,,,
09 - Zamboanga Peninsula,Western Mindanao State University,SUC Main,Zamboanga del Sur,Zamboanga City,http://www.wmsu.edu.ph,(062) 992-4238; (062) 991-1771; (062) 992-5102,
09 - Zamboanga Peninsula,Western Mindanao State University-Alicia,SUC Satellite,Zamboanga Sibugay,Alicia,,,
09 - Zamboanga Peninsula,Western Mindanao State University-Aurora,SUC Satellite,Zamboanga del Sur,Aurora,http://www.wmsu.edu.ph,(062) 992-4238; (062) 991-1040; (062) 992-5102,
09 - Zamboanga Peninsula,Western Mindanao State University-Diplahan,SUC Satellite,Zamboanga Sibugay,Diplahan,,,
09 - Zamboanga Peninsula,Western Mindanao State University-Imelda,SUC Satellite,Zamboanga Sibugay,Imelda,,,
09 - Zamboanga Peninsula,Western Mindanao State University-Ipil,SUC Satellite,Zamboanga Sibugay,Ipil,,333-5449,
09 - Zamboanga Peninsula,Western Mindanao State University-Mabuhay,SUC Satellite,Zamboanga Sibugay,Mabuhay,,,
09 - Zamboanga Peninsula,Western Mindanao State University-Malangas,SUC Satellite,Zamboanga Sibugay,Malangas,http://www.wmsu.edu.ph,(062) 991-1040; (062) 992-4238; (062) 992-5102,
09 - Zamboanga Peninsula,Western Mindanao State University-Molave,SUC Satellite,Zamboanga del Sur,Molave,,(062) 225-2403; (062) 225-1507; (062) 225-1507,
09 - Zamboanga Peninsula,Western Mindanao State University-Olutanga,SUC Satellite,Zamboanga Sibugay,Olutanga,http://www.wmsu.edu.ph,(062) 992-4238; (062) 992-5102,
09 - Zamboanga Peninsula,Western Mindanao State University-Pagadian,SUC Satellite,Zamboanga del Sur,Pagadian City,http://www.wmsu.edu.ph,(062) 214-4353,
09 - Zamboanga Peninsula,Western Mindanao State University-Siay,SUC Satellite,Zamboanga Sibugay,Siay,http://www.wmsu.edu.ph,(062) 991-1040; (062) 992-4238; (062) 992-5102,
09 - Zamboanga Peninsula,Western Mindanao State University-Tungawan,SUC Satellite,Zamboanga Sibugay,Tungawan,,,
09 - Zamboanga Peninsula,Western Mindanao State University-Naga,SUC Satellite,Zamboanga Sibugay,Naga,http://www.wmsu.edu.ph,(062) 991-1040; (062) 992-4238; 0916-4302467,
09 - Zamboanga Peninsula,Western Mindanao State University-Curuan,SUC Satellite,Zamboanga del Sur,Zamboanga City,http://www.wmsu.edu.ph,,
09 - Zamboanga Peninsula,Universidad de Zamboanga,Private,Zamboanga del Sur,Zamboanga City,http://www.uz.edu.ph,(062) 991-1135 (062) 991-5677; (062) 991-9102; (062) 991-5390; (062) 992-7677,
09 - Zamboanga Peninsula,Zamboanga Peninsula Polytechnic State University,SUC Main,Zamboanga del Sur,Zamboanga City,http://www.zcspc.edu.ph,(062) 991-3815,
09 - Zamboanga Peninsula,Zamboanga State College of Marine Sciences and Technology,SUC Main,Zamboanga del Sur,Zamboanga City,http://www.zscmst.edu.ph,(062) 991-0777; (062) 992-3092,
09 - Zamboanga Peninsula,Josefina H. Cerilles State College,SUC Main,Zamboanga del Sur,San Miguel,jhcsc.edu.ph,(062) 945-0025,
09 - Zamboanga Peninsula,Josefina H. Cerilles State College - Dumingag,SUC Satellite,Zamboanga del Sur,Dumingag,http://www.jhcscdc.edu.ph,,
09 - Zamboanga Peninsula,Medina College-Pagadian,Private,Zamboanga del Sur,Pagadian City,http://www.medinacollegepagadian.com,(062) 214-1822; (062) 215-3721; (088) 521-1466,
09 - Zamboanga Peninsula,Pagadian Capitol College,Private,Zamboanga del Sur,Pagadian City,http://www.pcci.somee.com,(062) 214-4364,
09 - Zamboanga Peninsula,Aurora Pioneers Memorial College,Private,Zamboanga del Sur,Aurora,,(062) 945-0256; 0910-5411397,
09 - Zamboanga Peninsula,Dipolog City Institute of Technology,Private,Zamboanga del Norte,Dipolog City,http://www.dcit.edu.ph,(065) 908-0064; (065) 212-2979,
09 - Zamboanga Peninsula,Jose Rizal Memorial State University - Main,SUC Main,Zamboanga del Norte,Dapitan City,http://www.JRMSU.edu.ph,(065) 908-8294; (065) 908 1349,
09 - Zamboanga Peninsula,Ebenezer Bible College and Seminary,Private,Zamboanga del Sur,Zamboanga City,http://www.myebenezerschool.org,(062) 983-0628; (062) 991-3039,
09 - Zamboanga Peninsula,St. Mary's College of Labason,Private,Zamboanga del Norte,Labason,,,
09 - Zamboanga Peninsula,Josefina H. Cerilles State College-Canuto M.S. Enerio College of Arts and Trades,SUC Satellite,Zamboanga del Sur,Lakewood,http://www.jhcsc.edu.ph,(062) 945-0025,
09 - Zamboanga Peninsula,Jose Rizal Memorial State University-Dipolog,SUC Satellite,Zamboanga del Norte,Dipolog City,jrmsu.edu.ph,(065) 212-2292,
09 - Zamboanga Peninsula,Jose Rizal Memorial State University-Siocon,SUC Satellite,Zamboanga del Norte,Siocon,http://www.jrmsu.edu.ph/,0917-3119220; 0917-9465584,
09 - Zamboanga Peninsula,Colegio de San Francisco Javier of Rizal Zamboanga del Norte,Private,Zamboanga del Norte,Rizal,,,
09 - Zamboanga Peninsula,Computer Technologies Institute of Zamboanga City,Private,Zamboanga del Sur,Zamboanga City,http://www.comtechinstitute.edu.ph,(062) 991-2365,
09 - Zamboanga Peninsula,HMIJ Foundation Philippine Islamic College,Private,Zamboanga del Sur,Zamboanga City,,(062) 993-1783; (062) 991-7788,
09 - Zamboanga Peninsula,Mindanao State University-Buug College,SUC Satellite,Zamboanga Sibugay,Buug,http://www.msubuugcampus.com,(062) 984-0603; (062) 984-0603; (062) 984-0603,
09 - Zamboanga Peninsula,Eastern Mindanao College of Technology,Private,Zamboanga del Sur,Pagadian City,http://www.emcotech.com.ph,(062) 215-4258; (062) 214-4171,
09 - Zamboanga Peninsula,Universidad de Zamboanga-Ipil,Private,Zamboanga Sibugay,Ipil,http://www.uz.edu.ph,(062) 333-5506; (062) 333-5634; (062) 955-8035,
09 - Zamboanga Peninsula,Medina College-Ipil,Private,Zamboanga Sibugay,Ipil,,(062) 333-5615; (062) 333-5702,
09 - Zamboanga Peninsula,Philippine Technological and Marine Sciences-Zamboanga del Sur,Private,Zamboanga del Sur,Pagadian City,,(062) 214-4348; (062) 214-4348; (062) 214-4348,
09 - Zamboanga Peninsula,Western Mindanao Foundation College,Private,Zamboanga del Sur,Zamboanga City,http://www.wmfc.com.ph,(062) 955-7556,
09 - Zamboanga Peninsula,Southern Peninsula College,Private,Zamboanga del Norte,Labason,,,
09 - Zamboanga Peninsula,Lucan Central Colleges,Private,Zamboanga del Sur,Pagadian City,,(062) 215-3307,
09 - Zamboanga Peninsula,Sibugay Technical Institute,Private,Zamboanga Sibugay,Ipil,http://www.sibugaytech.edu.ph,(062) 333-2469,
09 - Zamboanga Peninsula,Universidad de Zamboanga - Pagadian,Private,Zamboanga del Sur,Pagadian City,http://www.uz.edu.ph,(062) 215-4206; 0926-2301047,
09 - Zamboanga Peninsula,Aim High College,Private,Zamboanga Sibugay,Ipil,,,
09 - Zamboanga Peninsula,Ave Maria College,Private,Zamboanga del Norte,Liloy,,,
09 - Zamboanga Peninsula,Hyrons College Philippines,Private,Zamboanga del Sur,Tukuran,,(062) 945-0158,
09 - Zamboanga Peninsula,Jose Rizal Memorial State University-Tampilisan,SUC Satellite,Zamboanga del Norte,Dapitan City,,,
09 - Zamboanga Peninsula,Nuevo Zamboanga College,Private,Zamboanga del Sur,Zamboanga City,,(062) 990-1134; (062) 991-2033 local 202; (062) 991-1626,
09 - Zamboanga Peninsula,Philippine Advent College-Salug,Private,Zamboanga del Norte,Salug,http://www.pacsalug.edu.ph,,
09 - Zamboanga Peninsula,Yllana Bay View College,Private,Zamboanga del Sur,Pagadian City,,(062) 215-4176; (062) 215-8182,
09 - Zamboanga Peninsula,Alhadeetha Mindanao College,Private,Zamboanga del Sur,Labangan,,0935-8902518,
09 - Zamboanga Peninsula,Zamboanga del Sur Provincial Government College,LUC,Zamboanga del Sur,Aurora,,(062) 945-0109,
09 - Zamboanga Peninsula,Southern City Colleges-West Campus,Private,Zamboanga del Sur,Zamboanga City,http://www.scci.edu.ph,(062) 991-1954; (062 )992-0819; (062) 992-2241,
09 - Zamboanga Peninsula,ZAMSULA Everlasting College,Private,Zamboanga del Norte,Salug,http://www.zamsulaeverlastingcollege.com,,
09 - Zamboanga Peninsula,Our Lady of Triumph Institute of Technology,Private,Zamboanga del Sur,Pagadian City,,,
09 - Zamboanga Peninsula,West Prime Horizon Institute,Private,Zamboanga del Sur,Pagadian City,,,
09 - Zamboanga Peninsula,Colegio de La Ciudad de Zamboanga,LUC,Zamboanga Del Sur,Zamboanga City,,,
09 - Zamboanga Peninsula,Zamboanga del Sur Provincial Government College - Pagadian,LUC,Zamboanga Del Sur,Pagadian City,,,
09 - Zamboanga Peninsula,Ferndale College – Zamboanga Peninsula,Private,Zamboanga del Sur,Poblacion,,,
09 - Zamboanga Peninsula,Metro Zampen College,Private,Zamboanga Del Sur,Zamboanga City,,,
09 - Zamboanga Peninsula,Emmauss College of Theology Foundation,Private,Zamboanga del Sur,Zamboanga City,,,
09 - Zamboanga Peninsula,Pagadian City International College,LUC,Zamboanga del Norte,Pagadian City,,,
09 - Zamboanga Peninsula,Philippine Advent College - Leon B. Postigo Campus,Private,Zamboanga del Norte,Leon B. Postigo,pacleonbpostigo21@gmail.com / philippineadventcollege.edu.ph,,
09 - Zamboanga Peninsula,Zamboanga del Sur Provincial Government College-Dimataling,LUC,,,,,
10 - Northern Mindanao,Blessed Mother College,Private,Misamis Oriental,Cagayan De Oro City,http://www.blessedmothercollege.edu.ph,(08822) 852-4283,
10 - Northern Mindanao,Bukidnon State University,SUC Main,Bukidnon,Malaybalay City,http://www.bsc.edu.ph,(088) 813-2717; (088) 221-2196,
10 - Northern Mindanao,Bukidnon State University-Alubijid ESC,SUC Satellite,Misamis Oriental,Alubijid,http://www.bsc.edu.ph,(088) 756-156,
10 - Northern Mindanao,Bukidnon State University-Libona,SUC Satellite,Bukidnon,Libona,http://www.bcs.educ.ph,,
10 - Northern Mindanao,Bukidnon State University-Baungon BSU,SUC Satellite,Bukidnon,Baungon,http://www.bsc.edu.ph,,
10 - Northern Mindanao,Bukidnon State University-Kalilangan BSU,SUC Satellite,Bukidnon,Kalilangan,http://www.bsc.edu.ph,(088) 813-2717; (088) 221-2237,
10 - Northern Mindanao,Bukidnon State University-Medina ESC,SUC Satellite,Misamis Oriental,Medina,http://www.bsc.edu.ph,,
10 - Northern Mindanao,Bukidnon State University-Talakag BSU,SUC Satellite,Bukidnon,Talakag,http://www.bsc.edu.ph,,
10 - Northern Mindanao,Bukidnon State University-Talisayan ESC,SUC Satellite,Misamis Oriental,Talisayan,,,
10 - Northern Mindanao,Bukidnon State University-Malitbog,SUC Satellite,Bukidnon,Malitbog,http://www.bsc.edu.ph,0926-5207289,
10 - Northern Mindanao,Bukidnon State University-Kadingilan,SUC Satellite,Bukidnon,Kadingilan,http://www.bsc.edu.ph,,
10 - Northern Mindanao,Capitol University,Private,Misamis Oriental,Cagayan De Oro City,http://www.cu.edu.ph,(088) 856-1272; (08822) 723-349,
10 - Northern Mindanao,Cagayan De Oro College,Private,Misamis Oriental,Cagayan De Oro City,http://www.coc.phinma.edu.ph,(088) 858-3880; (088) 858-5869,
10 - Northern Mindanao,Camiguin Polytechnic State College,SUC Main,Camiguin,Mambajao,http://www.cpsc.edu.ph,(088) 387-1268; (088) 387-0044; (088) 387-0495,
10 - Northern Mindanao,Central Mindanao University,SUC Main,Bukidnon,Maramag,http://www.cmu.edu.ph,0917-7060347,
10 - Northern Mindanao,Christ the King College,Private,Misamis Oriental,Gingoog City,http://www.ckcgingoog.edu.ph,(088) 427-437; (088) 861-2192; (088) 861-0149,
10 - Northern Mindanao,Colegio De Santo Niño De Jasaan,Private,Misamis Oriental,Jasaan,,(088) 906-417; 0949-8144413,
10 - Northern Mindanao,Fatima College of Camiguin,Private,Camiguin,Mambajao,,(008) 387-1038; (008) 387-0953,
10 - Northern Mindanao,Gingoog City College,Private,Misamis Oriental,Gingoog City,,(088) 861-1432; (08842) 7385,
10 - Northern Mindanao,Gingoog Christian College,Private,Misamis Oriental,Gingoog City,,(08842) 7376; (08842) 7914,
10 - Northern Mindanao,Gov. Alfonso D. Tan College,LUC,Misamis Occidental,Tangub City,,(088) 545-2793; 0928-4075104,
10 - Northern Mindanao,La Salle University,Private,Misamis Occidental,Ozamis City,http://www.lsu.edu.ph,(088) 521-1010,
10 - Northern Mindanao,Liceo De Cagayan University,Private,Misamis Oriental,Cagayan De Oro City,http://www.ldcu.edu.ph,(088) 858-4093 to 95; (088) 858-4086; (088) 858-3664; (08822) 727-044; (08822) 714-253; (08822) 722-244; (08822) 728-516 local 107; (088) 858-3123,
10 - Northern Mindanao,Lourdes College,Private,Misamis Oriental,Cagayan De Oro City,http://www.lccdo.edu.ph,(088) 857-1487; (088) 857-1423 local 102,
10 - Northern Mindanao,Medina College,Private,Misamis Occidental,Ozamis City,http://www.medinacollege-edu.com,(088) 521-1466; (088) 521-0036; (088) 521-0435; (088) 521-4033,
10 - Northern Mindanao,Medina Foundation College,Private,Misamis Occidental,Sapang Dalaga,,(088) 586-0088,
10 - Northern Mindanao,Mindanao Arts and Technological Institute,Private,Bukidnon,Malaybalay City,,(088) 813-3039; (088) 813-2748,
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,SUC Main,Misamis Oriental,Cagayan De Oro City,http://www.ustp.edu.ph,(088) 856-4696; (088) 856-1739,
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Jasaan,SUC Satellite,Misamis Oriental,Jasaan,,0917-4308125,
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Oroquieta,SUC Satellite,Misamis Occidental,Oroquieta City,,,
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Panaon,SUC Satellite,Misamis Occidental,Panaon,,0917-7076572,
10 - Northern Mindanao,Misamis Institute of Technology,Private,Misamis Occidental,Ozamiz City,,(088) 521-2189,
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Claveria,SUC Satellite,Misamis Oriental,Claveria,http://www.ustp.edu.ph,0997-9558595,
10 - Northern Mindanao,Misamis University,Private,Misamis Occidental,Ozamiz City,http://www.mu.edu.ph,(088) 521-2917; (088) 521-0367,
10 - Northern Mindanao,Misamis University-Oroquieta City,Private,Misamis Occidental,Oroquieta City,http://www.muo.edu.ph,(088) 531-1153,
10 - Northern Mindanao,Mountain View College,Private,Bukidnon,Valencia City,http://www.mvc.edu.ph,0936-0757891,
10 - Northern Mindanao,Golden Heritage Polytechnic College,Private,Misamis Oriental,Cagayan De Oro City,http://www.ghpcphil.byet8host.com,(088) 858-7326; (08822) 711-522,
10 - Northern Mindanao,Northwestern Mindanao Christian Colleges,Private,Misamis Occidental,Tudela,,0946-7196229,
10 - Northern Mindanao,Philippine College Foundation,Private,Bukidnon,Valencia City,http://www.ilovepcf.com,(088) 828-6569,
10 - Northern Mindanao,Pilgrim Christian College,Private,Misamis Oriental,Cagayan De Oro City,pcc-cdo.com,(088) 856-4239; (08822) 724-498,
10 - Northern Mindanao,Quezon Institute of Technology,Private,Bukidnon,Quezon,,0917-6430130,
10 - Northern Mindanao,Sacred Heart College of Calamba,Private,Misamis Occidental,Calamba,,(088) 271-3372; (088) 564-8138,
10 - Northern Mindanao,St. John Vianney Theological Seminary,Private,Misamis Oriental,Cagayan De Oro City,http://www.sjvts.org,(088) 857-4486; (088) 857-2806,
10 - Northern Mindanao,St. Peter's College of Misamis Oriental,Private,Misamis Oriental,Balingasag,,(088) 333-2072,
10 - Northern Mindanao,St. Rita's College of Balingasag,Private,Misamis Oriental,Balingasag,,(8822) 333-2018,
10 - Northern Mindanao,San Agustin Institute of Technology,Private,Bukidnon,Valencia City,wowsait.com,(088) 828-1499; (088) 828-6058,
10 - Northern Mindanao,San Isidro College,Private,Bukidnon,Malaybalay City,http://www.sic.edu.ph,(088) 221-2368; (088) 221-2440,
10 - Northern Mindanao,Southern Bukidnon Foundation Academy,Private,Bukidnon,Don Carlos,,(882) 262-424; 0955-7205567; 0975-6405775,
10 - Northern Mindanao,Southern Capital Colleges,Private,Misamis Occidental,Oroquieta City,,(088) 531-1170,
10 - Northern Mindanao,Southern De Oro Philippines College,Private,Misamis Oriental,Cagayan De Oro City,http://www.southphilcollege.com,(088) 856-2610; (088) 856-2609,
10 - Northern Mindanao,Stella Maris College,Private,Misamis Occidental,Oroquieta City,,(088) 531-1675,
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,SUC Main,Misamis Occidental,Tangub City,http://www.nmsc.edu.ph,(088) 586-0173,
10 - Northern Mindanao,Valencia Colleges-Bukidnon,Private,Bukidnon,Valencia City,,(088) 828-3142; (088) 254-7419,
10 - Northern Mindanao,Xavier University (Ateneo de Cagayan),Private,Misamis Oriental,Cagayan De Oro City,http://www.xu.edu.ph,(088) 853-9800; (088) 853-9888; (8822) 727-163(8822) 722-725,
10 - Northern Mindanao,STI College-Cagayan De Oro,Private,Misamis Oriental,Cagayan De Oro City,sti.edu.ph,(088) 857-3788,
10 - Northern Mindanao,AMA Computer College-Cagayan de Oro,Private,Misamis Oriental,Cagayan De Oro City,http://www.amaes.edu.ph,(088) 857-4846; (088) 857-6358; (088) 857-6355,
10 - Northern Mindanao,Philippine Countryville College,Private,Bukidnon,Maramag,http://www.philcountryville.net,0908-8723124; (088) 828-4862,
10 - Northern Mindanao,Roman C. Villalon Memorial Colleges Foundation,Private,Bukidnon,Kibawe,,(088) 357-1434; 0905-2760154,
10 - Northern Mindanao,Oro Bible College,Private,Misamis Oriental,Cagayan De Oro City,,(088) 858-3209,
10 - Northern Mindanao,Dr. Solomon U. Molina College,Private,Misamis Occidental,Oroquieta City,,0956-6346944,
10 - Northern Mindanao,Mindanao State University-Naawan,SUC Satellite,Misamis Oriental,Naawan,http://www.msunaawan.edu.ph,(088) 555-0187; 0920-9171595,
10 - Northern Mindanao,Adventist Technological Institute,Private,Misamis Occidental,Jimenez,,0907-6385524,
10 - Northern Mindanao,Southern Maramag Colleges,Private,Bukidnon,Maramag,,0926-0363488,
10 - Northern Mindanao,Tagoloan Community College,LUC,Misamis Oriental,Tagoloan,http://www.tagoloan.edu.ph,(088) 890-4653,
10 - Northern Mindanao,Initao College,LUC,Misamis Oriental,Initao,http://www.initaocollege2003.ph,0917-8456277,
10 - Northern Mindanao,Opol Community College,LUC,Misamis Oriental,Opol,,(088) 555-0518,
10 - Northern Mindanao,Northern Bukidnon State College,SUC Main,Bukidnon,Manolo Fortich,,0917-1426080; 0917-7243823,
10 - Northern Mindanao,ACLC College of Bukidnon,Private,Bukidnon,Valencia City,http://www.aclcbukidnon.com,(088) 828-3585,
10 - Northern Mindanao,Don Carlos Polytechnic College,LUC,Bukidnon,Don Carlos,,0977-8527030; 0917-3203840,
10 - Northern Mindanao,IBA College of Mindanao,Private,Bukidnon,Valencia City,http://www.ibacm.com,(088) 828-1337; (088) 828-3660,
10 - Northern Mindanao,Misamis Oriental Institute of Science and Technology,Private,Misamis Oriental,Balingasag,,(088) 333-5054; (088) 333-5047,
10 - Northern Mindanao,The New El Salvador Colleges,Private,Misamis Oriental,El Salvador City,,(088) 583-0910; (088) 555-0089; (088) 583-0342,
10 - Northern Mindanao,Our Lady of Triumph Institute of Technology,Private,Misamis Occidental,Ozamiz City,http://www.olt.edu.ph,(088) 545-9078,
10 - Northern Mindanao,Vineyard International Polytechnic College,Private,Misamis Oriental,Cagayan de Oro City,http://www.vipc.edu.ph,(088) 856-8646; (08822) 721-065,
10 - Northern Mindanao,Pangantucan Bukidnon Community College,LUC,Bukidnon,Pangantucan,,0917-5529806; 0906-3038695; 0917-5549806,
10 - Northern Mindanao,City College of El Salvador,LUC,Misamis Oriental,El Salvador City,,0927-596-2118; 0926-194-0537,
10 - Northern Mindanao,Community College of Gingoog City,LUC,Misamis Oriental,Gingoog City,,0956-1723141,
10 - Northern Mindanao,Magsaysay College,LUC,Misamis Oriental,Magsaysay,,0906-6425914; 0917-7196115,
10 - Northern Mindanao,Salay Community College,LUC,Misamis Oriental,Salay,,0917-7092134; 0906-9265611,
10 - Northern Mindanao,STI College-Iligan,Private,Lanao Del Norte,Iligan City,http://www.sti.edu,(063) 221-9698; (063) 492-1445; (063) 228-3048,
10 - Northern Mindanao,STI College-Malaybalay,Private,Bukidnon,Malaybalay,http://www.sti.edu,(088) 813-3877,
10 - Northern Mindanao,STI College-Valencia,Private,Bukidnon,Valencia City,http://www.sti.edu,(088) 828-3413,
10 - Northern Mindanao,Tubod College,LUC,Lanao Del Norte,Tubod,,(063) 227-6460; (063) 341-5596,
10 - Northern Mindanao,Bukidnon State University-Cabanglasan ESC,SUC Satellite,Bukidnon,Cabanglasan,,,
10 - Northern Mindanao,Bukidnon State University-Damulog Satellite ESC,SUC Satellite,Bukidnon,Damulog,,,
10 - Northern Mindanao,Bukidnon State University-Kitaotao Satellite ESC,SUC Satellite,Bukidnon,Kitaotao,,,
10 - Northern Mindanao,Bukidnon State University-Quezon Satellite ESC,SUC Satellite,Bukidnon,Quezon,,,
10 - Northern Mindanao,Bukidnon State University-San Fernando Satellite ESC,SUC Satellite,Bukidnon,San Fernando,,,
10 - Northern Mindanao,Bukidnon State University-Impasugong,SUC Satellite,Bukidnon,Impasugong,,,
10 - Northern Mindanao,University of Science and Technology in Southern Philippines-Alubijid,SUC Satellite,Misamis Oriental,Alubijid,,856-1736 Loc 159,
10 - Northern Mindanao,University of Science and Technology in Southern Philippines-Balubal,SUC Satellite,Misamis Oriental,Balubal,,088-856-4696 / 63888561738,
10 - Northern Mindanao,University of Science and Technology in Southern Philippines-Villanueva,SUC Satellite,Misamis Oriental,Villanueva,villanueva.campus@ustp.edu.ph / http://www.ustp.edu.ph/villanueva/,0996-504-37552 / 0917-346-1973,
10 - Northern Mindanao,North Central Mindanao College,Private,Lanao Del Norte,Lala,http://www.ncmc.edu.ph,(063) 227-8004,
10 - Northern Mindanao,Iligan Capitol College,Private,Lanao Del Norte,Iligan City,http://www.icc.edu.ph,(063) 221-2621; (063) 221-2247,
10 - Northern Mindanao,Iligan Medical Center College,Private,Lanao Del Norte,Iligan City,http://www.imcc.edu.ph,(063) 221-4661 local 1102; (063) 221-6584; (063) 221-4661 local 216,
10 - Northern Mindanao,Mindanao State University-Lanao Del Norte Agricultural College,SUC Satellite,Lanao Del Norte,Sultan Naga Dimaporo,,,
10 - Northern Mindanao,Mindanao State University-Maigo School of Arts and Trades,SUC Satellite,Lanao Del Norte,Maigo,http://www.msumsat.edu.ph,(063) 227-4210; 0926-2086182,
10 - Northern Mindanao,Adventist Medical Center College,Private,Lanao Del Norte,Iligan City,http://www.amcc.edu.ph,(063) 223-2114; (063) 221-9219 local 156,
10 - Northern Mindanao,Mindanao State University - Iligan Institute of Technology,SUC Satellite,Lanao Del Norte,Iligan City,http://www.msuiit.edu.ph,(063) 351-6173; (063) 221-4050; (063) 221-4056,
10 - Northern Mindanao,St. Michael's College,Private,Lanao Del Norte,Iligan City,http://www.smciligan.edu.ph,(063) 221-5325; (063) 221-3812,
10 - Northern Mindanao,St. Peter's College,Private,Lanao Del Norte,Iligan City,spc.edu.ph,(063) 221-5680; (063) 221-6246,
